country_name,population_total,gdp
France,65584.5180,43852.5751
Italy,60262.7700,34688.9132
Spain,46719.1420,32044.2529
Netherlands,17211.4470,55482.3194
Sweden,10218.9710,56436.2107
Belgium,11668.2780,47460.3879
Denmark,5834.9500,62476.2851
Romania,19031.3350,13826.3028
Greece,10316.6370,22342.5521
Hungary,9606.2590,18501.8955
Luxembourg,642.3710,114720.3096
Bulgaria,6844.5970,10482.1365
Croatia,4059.2860,15911.6653
Cyprus,1223.3870,21536.9299
Malta,444.0330,36794.5626
